name,accolade_employee-of-the-month,accolade_service excellence award,accolade_quality control,accolade_kitchen staff,nickname,blood_type,religion,favourite_colour,pet_preference,beverage_preference,season_preference,member,allergies,handedness
Albert Einstein,yes,no,yes,yes,Albert,A+,Jewish,Blue,Cats,Tea,Winter,Yes,None,Right
Beyoncé,yes,no,yes,no,Beyoncé,O-,Christian,Gold,Dogs,Coffee,Summer,Yes,Shellfish,Right
William Shakespeare,no,no,no,yes,Willy S,B+,Anglican,Green,Dogs,Tea,Spring,Yes,Pollen,Right
Marilyn Monroe,no,yes,no,yes,Marilyn,AB-,Christian,White,Cats,Coffee,Summer,No,Penicillin,Right
Barack Obama,no,no,no,yes,Barack,AB+,Christian,Blue,Dogs,Tea,Summer,Yes,None,Left
Steve Jobs,no,yes,no,no,Stevey J,A-,Buddhism,Black,Cats,Tea,Fall,Yes,None,Right
Oprah Winfrey,yes,no,yes,yes,Oprah,B-,Christian,Purple,Dogs,Coffee,Spring,Yes,None,Right
Pablo Picasso,no,no,no,no,Pablo P,O+,Atheist,Blue,Cats,Coffee,Summer,No,Dust,Left
Emma Watson,yes,yes,yes,no,Emma W,A+,Agnostic,Yellow,Cats,Tea,Fall,Yes,None,Right
Leonardo da Vinci,no,no,yes,yes,Leo V,AB+,Catholic,Red,Birds,Tea,Spring,Yes,None,Left
Cristiano Ronaldo,no,yes,no,no,CR7,O+,Catholic,White,Dogs,Tea,Summer,Yes,None,Right
Taylor Swift,yes,yes,yes,yes,Tay-Tay,A-,Christian,Red,Cats,Coffee,Fall,Yes,None,Right
Michael Jackson,no,no,yes,yes,Mike Jack,AB-,Jehovah's Witness,Red,Exotic,Tea,Spring,No,None,Right
Nikola Tesla,yes,no,yes,no,Tesla,B+,Orthodox,Purple,Pigeons,Coffee,Winter,Yes,None,Right
Meryl Streep,no,no,no,yes,Meryl,O-,Catholic,Green,Dogs,Coffee,Fall,Yes,Pollen,Right
Elon Musk,yes,no,yes,no,Elon,AB+,Agnostic,Red,Dogs,Coffee,Winter,Yes,None,Right
Madonna,no,yes,no,no,Madonna,B-,Kabbalah,Black,Dogs,Tea,Summer,No,Peanuts,Right
Charles Darwin,yes,no,yes,yes,Darwin,A+,Agnostic,Green,Dogs,Tea,Spring,Yes,None,Right
Rihanna,yes,yes,yes,no,Riri,O+,Christian,Red,Dogs,Coffee,Summer,No,None,Left
Audrey Hepburn,yes,no,yes,yes,Audrey,A-,Catholic,White,Dogs,Tea,Spring,Yes,None,Right
Walt Disney,no,no,no,no,Disney,O+,Christian,Blue,Dogs,Coffee,Winter,Yes,None,Right
Angelina Jolie,yes,yes,yes,yes,Angelina,AB-,Agnostic,Black,Cats,Coffee,Fall,No,None,Right
J.K. Rowling,no,no,no,no,JK,B+,Christian,Purple,Cats,Tea,Fall,Yes,None,Right
David Beckham,yes,yes,yes,yes,Becks,O+,Christian,Blue,Dogs,Coffee,Spring,Yes,None,Right
Usain Bolt,no,no,no,yes,Bolt,B-,Christian,Gold,Dogs,Coffee,Summer,Yes,None,Right
John Lennon,no,yes,no,yes,Lennon,AB+,Spiritual,White,Cats,Tea,Fall,No,None,Left
Queen Elizabeth II,yes,no,yes,no,Lizzy,A+,Anglican,Blue,Dogs,Tea,Spring,Yes,None,Right
Brad Pitt,yes,yes,yes,no,Brad,O-,Agnostic,Black,Dogs,Coffee,Fall,No,None,Right
LeBron James,yes,yes,yes,yes,Bron,B+,Christian,Purple,Dogs,Coffee,Summer,Yes,None,Left
Frank Sinatra,no,yes,no,yes,Sinatra,A+,Catholic,Orange,Dogs,Coffee,Winter,No,None,Right
Serena Williams,yes,no,no,yes,Serena,O+,Jehovah's Witness,Purple,Dogs,Coffee,Summer,Yes,None,Right
Leonardo DiCaprio,no,yes,yes,no,Leo,AB-,Catholic,Green,Dogs,Coffee,Fall,No,None,Right
Martin Luther King Jr.,yes,no,yes,yes,MLK,O+,Baptist,Blue,Dogs,Coffee,Spring,Yes,None,Right
Scarlett Johansson,yes,yes,yes,no,Scarlett,A-,Jewish,Red,Cats,Tea,Fall,No,None,Right
Tom Hanks,yes,no,no,yes,Tom,O+,Christian,Blue,Dogs,Coffee,Summer,Yes,None,Right
Winston Churchill,no,no,yes,no,Churchill,B+,Anglican,Blue,Cats,Tea,Winter,No,None,Right
Freddie Mercury,no,yes,no,no,Freddie M,AB+,Zoroastrian,Yellow,Cats,Tea,Summer,No,None,Right
Ariana Grande,yes,yes,yes,yes,Ari,A-,Catholic,Purple,Dogs,Coffee,Winter,Yes,None,Right
Abraham Lincoln,yes,yes,no,no,Abe,O+,Christian,Blue,Dogs,Coffee,Spring,Yes,None,Left
Billie Eilish,yes,no,no,yes,Billie,B-,Raised Christian,Black,Spiders,Tea,Winter,No,None,Right
Mark Zuckerberg,no,yes,yes,no,Zuck,AB+,Jewish,Gray,Dogs,Coffee,Winter,Yes,None,Right
Julia Roberts,yes,no,no,yes,Julia,O-,Hindu,Pink,Dogs,Coffee,Fall,Yes,None,Right
James Cameron,no,yes,yes,no,James C,A+,Agnostic,Blue,Cats,Coffee,Winter,Yes,None,Right
Heath Ledger,yes,no,yes,yes,Heath,B+,Spiritual,Green,Dogs,Coffee,Fall,No,None,Right
Julia Child,no,no,yes,yes,Julia,AB-,Episcopal,Red,Cats,Coffee,Summer,Yes,None,Right
George Washington,no,yes,no,yes,George,O+,Episcopal,Blue,Dogs,Tea,Spring,Yes,None,Right
Adele,yes,yes,yes,no,Adele,A+,Spiritual,Black,Dogs,Tea,Fall,No,None,Right
Emma Stone,yes,yes,yes,yes,Emma S,O-,Agnostic,Yellow,Dogs,Coffee,Spring,Yes,None,Right
Hugh Jackman,yes,no,yes,yes,Hugh,B+,Christian,Blue,Dogs,Coffee,Winter,Yes,None,Right
Michael Jordan,no,yes,no,yes,Jordan,O+,Christian,Red,Dogs,Coffee,Summer,Yes,None,Right
